expression,reading,meaning,tags,guid,vietnamese_definition
卸す,おろす,"to sell wholesale, grated (vegetables)",JLPT JLPT_2 JLPT_3,GT*kAh$cd0,bán buôn
音,おん,"sound, note",JLPT JLPT_2 JLPT_3,gkN]*wY]?s,âm thanh
恩,おん,"favor, obligation, debt of gratitude",JLPT JLPT_2 JLPT_3,"A4Iq0-B@,;",lòng tốt
温暖,おんだん,warmth,JLPT JLPT_2 JLPT_3,N&n<_QP1.Q,sự ấm áp
温度,おんど,temperature,JLPT JLPT_2 JLPT_3,NA1Ge#l-~k,nhiệt độ
可,か,passable,JLPT JLPT_2 JLPT_3,l:l&EInHym,Có thể
蚊,か,mosquito,JLPT JLPT_3 JLPT_2 Genki Genki_Ln.21,j=4=()Uwi2,muỗi
課,か,"department, division",JLPT JLPT_2 JLPT_3,QQ1!.:!+a[,lớp học
カー,カー,car,JLPT JLPT_2 JLPT_3,o!p+_Rb<h*,xe hơi
カード,カード,"card, curd",JLPT JLPT_2 JLPT_3,"F,Np^@m5hi",thẻ
貝,かい,"shell, shellfish",JLPT JLPT_2 JLPT_3,HNd6/BU{>X,động vật có vỏ
害,がい,"harm, damage",JLPT JLPT_2 JLPT_3,g|Fzqe^$7$,Có hại
会員,かいいん,"member, the membership",JLPT JLPT_2 JLPT_3,li]JQ4<Kd[,thành viên
絵画,かいが,"picture, painting",JLPT JLPT_2 JLPT_3,emKUHOyrV`,bức vẽ
海外,かいがい,"foreign, abroad, overseas",JLPT JLPT_2 JLPT_3,qq4=IgxkU<,ở nước ngoài
会計,かいけい,"account, finance",JLPT JLPT_2 JLPT_3,bX?OL%f/L+,kế toán
解決,かいけつ,"settlement, solution, resolution",JLPT JLPT_2 JLPT_3,rmn(v?B?3g,gỡ rối
会合,かいごう,"meeting, assembly",JLPT JLPT_2 JLPT_3,f9BQ|i/j|},cuộc họp
外交,がいこう,diplomacy,JLPT JLPT_2 JLPT_3,A]90<@ohwE,ngoại giao
開始,かいし,"start, commencement, beginning",JLPT JLPT_2 JLPT_3,qgkolirBJK,bắt đầu
解釈,かいしゃく,"explanation, interpretation",JLPT JLPT_2 JLPT_3,Ih/AkEg/|E,diễn giải
外出,がいしゅつ,"outing, going out",JLPT JLPT_2 JLPT_3,Ol@%UFQ/rD,Đi ra ngoài
改善,かいぜん,"betterment, improvement",JLPT JLPT_2 JLPT_3,fv+>GYURp:,cải thiện 
快適,かいてき,"pleasant, agreeable",JLPT JLPT_2 JLPT_3,Bh^`k;OTy|,thoải mái
回復,かいふく,"recovery (from illness), rehabilitation, restoration",JLPT JLPT_2 JLPT_3,wc6OB#:n9.,sự hồi phục
飼う,かう,to keep; to own (a pet); to raise; to feed,JLPT Genki_Ln.11 JLPT_3 JLPT_2 Genki,wfURRt4tC[,giữ
帰す,かえす,to send back,JLPT JLPT_2 JLPT_3,LZ<.!]FC|8,Gửi lại
代える,かえる,"to exchange, to interchange, to substitute",JLPT JLPT_2 JLPT_3,Ccj6!`~jPu,Thay thế
替える,かえる,"to exchange, to interchange, to substitute",JLPT JLPT_2 JLPT_3,"Fv2F,v+u]8",Thay thế
換える,かえる,"to exchange, to interchange, to substitute",JLPT JLPT_3 JLPT_2 Genki_Ln.23 Genki,mmtj;wD(Zd,trao đổi
反る,かえる,"to warp, to be warped, to curve",JLPT JLPT_2 JLPT_3,"vDLMxa,sN/",uốn cong
香り,かおり,"aroma, fragrance",JLPT JLPT_2 JLPT_3,me}_g<26n*,hương thơm
画家,がか,painter,JLPT JLPT_2 JLPT_3,Pl:-st.KZ+,họa sĩ
抱える,かかえる,to hold or carry under or in the arms,JLPT JLPT_2 JLPT_3,"PQR[r=WB$,",mang theo
価格,かかく,"price, value",JLPT JLPT_2 JLPT_3,xFP@p4LxH5,giá 
化学,かがく,chemistry,JLPT JLPT_2 JLPT_3,Sh/.K7MGJ,Hóa chất
輝く,かがやく,"to shine, to glitter, to sparkle",JLPT JLPT_2 JLPT_3,Dzyp)tD%e,Tỏa sáng
係,かかり,person in charge,JLPT JLPT_2 JLPT_3,Q&QZSK._J<,Cà vạt
罹る,かかる,to suffer from,JLPT JLPT_2 JLPT_3,h_Phc0xEm%,hợp đồng
限る,かぎる,"to restrict, to limit, to confine",JLPT JLPT_2 JLPT_3,Ku)jdi.uTn,giới hạn
掻く,かく,to scratch,JLPT JLPT_2 JLPT_3,K):N$B19m+,cào
描く,かく,"to draw, to depict, to describe",JLPT JLPT_2 JLPT_3,grO;5{y}I|,vẽ tranh
嗅ぐ,かぐ,"to sniff, to smell",JLPT JLPT_2 JLPT_3,vaKqc&PyP9,mùi
家具,かぐ,furniture,Genki_Ln.15 JLPT JLPT_3 JLPT_2 Genki,gqN}MYosw6,nội thất
学,がく,"learning, knowledge",JLPT JLPT_2 JLPT_3,w:XhV>-rir,học
額,がく,amount; frame,JLPT JLPT_2 JLPT_3,iG]&$wbDKv,số lượng
覚悟,かくご,"resolution, resignation, readiness",JLPT JLPT_2 JLPT_3,j/*:m6x0J),Sự quyết tâm
確実,かくじつ,"certainty, reliability, soundness",JLPT JLPT_2 JLPT_3,Nzie2SM<&O,chắc chắn
学者,がくしゃ,scholar,JLPT JLPT_2 JLPT_3,RamhNRc=y:,học giả
学習,がくしゅう,"study, learning",JLPT JLPT_2 JLPT_3,PHg7|5Zlfd,học
隠す,かくす,"to hide, to conceal",JLPT JLPT_2 JLPT_3,vMufH!:aAV,trốn
拡大,かくだい,"magnification, enlargement",JLPT JLPT_2 JLPT_3,f7kQq91Ua<,sự mở rộng
確認,かくにん,"affirmation, confirmation",JLPT JLPT_2 JLPT_3,kk{ITQ}D*5,xác nhận
学問,がくもん,"scholarship, study, learning",JLPT JLPT_2 JLPT_3,Jk{+Uk9@=d,Học bổng
隠れる,かくれる,"to hide, to be hidden",JLPT JLPT_2 JLPT_3,Iv9k~&!9Sa,trốn
影,かげ,"shade, shadow, other side",JLPT JLPT_2 JLPT_3,e~q8TnSV#A,bóng tối
陰,かげ,"shade, shadow, other side",JLPT JLPT_2 JLPT_3,JZ1GmL8t.y,Tiêu cực
欠ける,かける,to be lacking,JLPT JLPT_2 JLPT_3,c*r`UH]nG8,mất tích
加減,かげん,adjustment; addition and subtraction,JLPT JLPT_2 JLPT_3,h.?lP}8!)~,Sự điều độ
過去,かこ,past,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,"dbDE7?,;2l",quá khứ
籠,かご,"basket, cage",JLPT JLPT_2 JLPT_3,nt-Kbv73>],lồng
囲む,かこむ,"to surround, to encircle",JLPT JLPT_2 JLPT_3,"AC8Gt39]%,",bao quanh
火災,かさい,"conflagration, fire",JLPT JLPT_2 JLPT_3,C?jW[uV]~u,ngọn lửa
重なる,かさなる,"to be piled up, lie on top of one another",JLPT JLPT_2 JLPT_3,qEGvs]3ApH,chồng chéo
重ねる,かさねる,"to pile up, to put something on another, to heap up",JLPT JLPT_2 JLPT_3,i%7_$Pa~m],sự chồng chéo
飾り,かざり,decoration,JLPT JLPT_2 JLPT_3,b$htguAWNP,trang trí
貸し,かし,"loan, lending",JLPT JLPT_2 JLPT_3,hK1t$y~&<,cho vay
菓子,かし,"confectionery, sweet",JLPT JLPT_2 JLPT_3,uK+`Lg$t0E,Bánh kẹo
家事,かじ,household matters; housework (same as 家の仕事 (いえのしごと)),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14 Genki_Ln.22 Genki,oS4iCB;y-f,việc nhà
賢い,かしこい,"wise, clever, smart",JLPT JLPT_2 JLPT_3,rE7F6b61Rm,khôn ngoan
歌手,かしゅ,singer,JLPT Genki_Ln.11 JLPT_3 JLPT_2 Genki,NmC8EM=]mA,ca sĩ
数,かず,"number, figure, amount",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,DD:chgc^KO,con số
稼ぐ,かせぐ,"to earn income, to labor",JLPT JLPT_2 JLPT_3,rzTOas5wcB,Kiếm
数える,かぞえる,to count,JLPT JLPT_2 JLPT_3,J-q>{61#D9,đếm
型,かた,"mold, model, style",JLPT JLPT_2 JLPT_3,p8F!A2no<N,kiểu
肩,かた,shoulder,JLPT JLPT_2 JLPT_3,dyYF&B&tH[,vai
堅い,かたい,"hard, firm, solid",JLPT JLPT_2 JLPT_3,Pf^;5Zn/;l,cứng
硬い,かたい,"hard, firm, solid",JLPT JLPT_2 JLPT_3,"A5A<hg!,v}",cứng
方々,かたがた,persons,JLPT JLPT_2 JLPT_3,hkfynYZJHd,nhiều nơi
片付く,かたづく,"to put in order, to solve",JLPT JLPT_2 JLPT_3,ijUQHB/ROv,Dọn dẹp
刀,かたな,"sword, saber",JLPT JLPT_2 JLPT_3,E>:sV*K^8H,dao
語る,かたる,"to talk, to tell, to recite",JLPT JLPT_2 JLPT_3,K~y=o(hWS(,Để nói
勝ち,かち,"win, victory",JLPT JLPT_2 JLPT_3,f)TI}tuNi!,Thắng
価値,かち,"value, worth, merit",JLPT JLPT_2 JLPT_3,B$%nCt/^FZ,giá trị
がっかり,がっかり,"feel disappointed, be dejected, lose heart",JLPT JLPT_2 JLPT_3,r9|(w>UYj4,Thất vọng
活気,かっき,vigor; liveliness; vitality; energy,JLPT Intermediate_Japanese JLPT_1 JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,HUA^lTjb!P,Sự sống động
楽器,がっき,musical instrument,JLPT Genki_Ln.13 JLPT_3 JLPT_2 Genki,zj[&tINbu_,nhạc cụ
学期,がっき,term (school),JLPT JLPT_2 JLPT_3,rPinGb_30Q,học kỳ
活動,かつどう,"action, activity",JLPT JLPT_2 JLPT_3,wt]>L`Ku^c,Hoạt động
活躍,かつやく,activity,JLPT JLPT_2 JLPT_3,eCZu2QGL8i,Tích cực
活用,かつよう,conjugation; practical use,JLPT JLPT_2 JLPT_3,fVw4kRg|j),Sử dụng
仮定,かてい,"assumption, supposition, hypothesis",JLPT JLPT_2 JLPT_3,O=OdQ3=*sS,Giả định
過程,かてい,process,JLPT JLPT_2 JLPT_3,x/zB4*S269,quá trình
課程,かてい,"course, curriculum",JLPT JLPT_2 JLPT_3,"g,{yU7}}eo",khóa học
悲しむ,かなしむ,"to be sad, to mourn for, to regret",JLPT JLPT_2 JLPT_3,z^+]Gk=mf_,đau buồn
必ずしも,かならずしも,"(not) always, (not) necessarily",JLPT JLPT_2 JLPT_3,vW8w*Wj8S6,nhất thiết
かなり,かなり,"considerably, fairly, quite",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7,zc@WXAK&cO,đẹp
金,かね,"gold, metal; money",JLPT JLPT_2 JLPT_3,sL^]E[vBWQ,vàng
鐘,かね,"bell, chime",JLPT JLPT_2 JLPT_3,uWo]p3>gV),chuông
可能,かのう,"possible, practicable, feasible",JLPT JLPT_2 JLPT_3,s89#AFndfj,khả thi
株,かぶ,stock; stump (of tree),JLPT JLPT_2 JLPT_3,i!::Yg?ZPB,KK
被る,かぶる,to wear; to be covered with,JLPT JLPT_2 JLPT_3,KZvZ3xJvf=,chịu đựng
我慢,がまん,"patience, endurance, perseverance",JLPT JLPT_2 JLPT_3,b.uAP*cO(_,tính kiên nhẫn
上,かみ,first volume; superior quality; governmental,JLPT JLPT_2 JLPT_3,B2f-z2M%?X,thượng đẳng
神,かみ,god,JLPT JLPT_2 JLPT_3,bOG}3!+.y2,chúa
雷,かみなり,thunder,JLPT JLPT_2 JLPT_3,A`y:r{2n8V,sấm sét
髪の毛,かみのけ,hair (head),JLPT JLPT_2 JLPT_3,k>oV)Rt7]w,tóc
科目,かもく,"(school) subject, curriculum, course",JLPT JLPT_2 JLPT_3,mt1}<&PDy^,Chủ thể
かもしれない,かもしれない,"maybe, perhaps",JLPT JLPT_2 JLPT_3,"fXI7dlE,H5",Có lẽ
かゆい,かゆい,"itchy, itching",JLPT JLPT_2 JLPT_3,i@bIkK/P`w,ngứa
歌謡,かよう,"song, ballad",JLPT JLPT_2 JLPT_3,B8j5MHOl3a,Những bài hát nổi tiếng
空,から,empty,JLPT JLPT_2 JLPT_3,"LiJsM!pT#,",vô giá trị
殻,から,"shell, husk, hull",JLPT JLPT_2 JLPT_3,"F87p.DC4,p",vỏ bọc
柄,がら,pattern; build; character,JLPT JLPT_2 JLPT_3,uk^tW>*afz,Mẫu
刈る,かる,"to cut (hair), to mow (grass), to harvest",JLPT JLPT_2 JLPT_3,ON/-tkLwG!,cắt cỏ
河,かわ,"river, stream",JLPT JLPT_2 JLPT_3,mIM2jXP:@M,dòng sông
皮,かわ,"skin, hide, leather",JLPT JLPT_2 JLPT_3,C<.^aCL_QG,Da
革,かわ,leather,JLPT JLPT_2 JLPT_3,z`KQfm{h;f,da thú
可愛そう,かわいそう,"poor, pitiable, pathetic",JLPT JLPT_2 JLPT_3,jCbD|/Ou5e,Tội nghiệp
可愛らしい,かわいらしい,"lovely, sweet",JLPT JLPT_2 JLPT_3,KYl^v5PK_;,đáng yêu
乾かす,かわかす,to dry,JLPT JLPT_2 JLPT_3,JoU47]zU{d,khô
渇く,かわく,to be thirsty,JLPT JLPT_2 JLPT_3,g:zQk;6g:U,Khát
代る,かわる,"to take the place of, to relieve, to be substituted for",JLPT JLPT_2 JLPT_3,f9j%&rI)[J,thay thế
缶,かん,"can, tin",JLPT_1 JLPT JLPT_2 JLPT_3,fnx%_qW>Wk,Có thể
勘,かん,"perception, intuition, the sixth sense",JLPT JLPT_2 JLPT_3,lle<t+CbfW,Trực giác
考え,かんがえ,"thinking, thought, ideas",JLPT JLPT_2 JLPT_3,ry3gkU$VWf,nghĩ
感覚,かんかく,"sense, sensation",JLPT JLPT_2 JLPT_3,"p)VaZN,wP=",cảm xúc
間隔,かんかく,"space, interval, SPC",JLPT JLPT_2 JLPT_3,qbs8.xdCB<,khoảng thời gian
観客,かんきゃく,"audience, spectator(s)",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7,j%h6<&[KnW,khán giả
環境,かんきょう,"environment, circumstance",JLPT JLPT_3 JLPT_2 Genki Genki_Ln.21,v:iQ;XlPLV,môi trường
歓迎,かんげい,"welcome, reception",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5,e6r/_jeu;I,Chào mừng
観光,かんこう,sightseeing,Genki_Ln.15 JLPT JLPT_3 JLPT_2 Genki,n*g6UOKH98,tham quan
観察,かんさつ,"observation, survey",JLPT JLPT_2 JLPT_3,q)XNacsL_{,quan sát
感じ,かんじ,"feeling, sense, impression",JLPT JLPT_2 JLPT_3,w_sfjfQ#7V,cảm giác
感謝,かんしゃ,"thanks, gratitude",JLPT JLPT_2 JLPT_3,H)_*dziOH#,tri ân
患者,かんじゃ,patient,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,ow]ljz^dy0,kiên nhẫn
勘定,かんじょう,"calculation, counting, consideration",JLPT JLPT_2 JLPT_3,lT@?`jcn/-,Tài khoản
感情,かんじょう,"emotion(s), feeling(s), sentiment",JLPT JLPT_2 JLPT_3,KwSZ]};@<N,cảm xúc
感じる,かんじる,"to feel, to sense",JLPT JLPT_2 JLPT_3,"tat.#S,YWC",cảm thấy
感心,かんしん,admiration,JLPT JLPT_2 JLPT_3,Ll7N}.KB!4,Ấn tượng
関心,かんしん,"concern, interest",JLPT JLPT_2 JLPT_3,ugNZxV5.;6,quan tâm
関する,かんする,"to concern, to be related",JLPT JLPT_2 JLPT_3,j?=:~N:vEw,Về
完成,かんせい,"complete, completion; perfection",JLPT JLPT_2 JLPT_3,Gz+d-Na>Wq,Hoàn thành
完全,かんぜん,"perfection, completeness",JLPT JLPT_2 JLPT_3,"mx8.$z,opn",hoàn toàn
乾燥,かんそう,"dry, arid, dehydrated",JLPT JLPT_2 JLPT_3,o&PKDt@8.N,khô
感想,かんそう,"(one's) impressions, (one's) thoughts",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11,LSEXg:S7:(,suy nghĩ
感動,かんどう,"being deeply moved, excitement",JLPT JLPT_2 JLPT_3,mO)}<zEdx8,di chuyển
監督,かんとく,"supervision, control, (movie) director",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7,J6H&uZ7Px>,giám đốc
管理,かんり,"control, management (e.g., of a business)",JLPT JLPT_2 JLPT_3,GKHgUyo>J7,quản lý
完了,かんりょう,"completion, conclusion",JLPT JLPT_2 JLPT_3,nU7gs|>hqI,hoàn thành
関連,かんれん,"relation, connection, relevance",JLPT JLPT_2 JLPT_3,qM07gcK[)f,sự liên quan
議員,ぎいん,"member of the Diet, congress, or parliament",JLPT JLPT_2 JLPT_3,HgQ-~|%58x,Thành viên Quốc hội
記憶,きおく,"memory, recollection, remembrance",JLPT JLPT_2 JLPT_3,"E,/>3<s?|+",ký ức
気温,きおん,temperature (weather - not used for things),JLPT Genki_Ln.12 JLPT_3 JLPT_2 Genki,BBA~snq[*i,nhiệt độ
機械,きかい,"machine, machinery",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,"gbY2LYN_B,",cơ khí
器械,きかい,instrument,JLPT JLPT_2 JLPT_3,l7Ho]DDWuu,dụng cụ
議会,ぎかい,"Diet, congress, parliament",JLPT JLPT_2 JLPT_3,lGMTgzdnaN,Quốc hội
期間,きかん,"period, term",JLPT JLPT_2 JLPT_3,iw;V~SjnTE,Giai đoạn
機関,きかん,"engine; institution, organization",JLPT JLPT_2 JLPT_3,OOR48r}N5c,tổ chức
企業,きぎょう,"industry, business, undertaking",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,"m,c9$UCg]/",doanh nghiệp
効く,きく,to be effective,JLPT JLPT_2 JLPT_3,LC`=c%l]6(,Hiệu quả
期限,きげん,"deadline, term",JLPT JLPT_2 JLPT_3,DXtaD5za4M,thuật ngữ
機嫌,きげん,"humor, temper, mood",JLPT JLPT_2 JLPT_3,g?wFVr$Cb>,tâm trạng
気候,きこう,climate,JLPT JLPT_2 JLPT_3,zi^=GdE6J`,khí hậu
岸,きし,"bank, coast, shore",JLPT JLPT_2 JLPT_3,hm_._Qp@I~,bờ biển
生地,きじ,fabric; dough,JLPT JLPT_2 JLPT_3,0J|w~z~jj,vật liệu
記事,きじ,"article, news story",JLPT JLPT_2 JLPT_3,D?VHH^x3x^,bài báo
技師,ぎし,"engineer, technician",JLPT JLPT_2 JLPT_3,u=&Ix|N:mj,kỹ thuật viên
記者,きしゃ,reporter,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,L%Xdco]ND%,phóng viên
傷,きず,"wound, injury, hurt",JLPT JLPT_2 JLPT_3,Q?7OEINT{!,cào
期待,きたい,"expectation, anticipation, hope",JLPT JLPT_2 JLPT_3,q|E5|~(~TI,Kỳ vọng
気体,きたい,"vapor, gas",JLPT JLPT_2 JLPT_3,BVN])vG*1F,khí
帰宅,きたく,returning home,JLPT JLPT_2 JLPT_3,z!%Pu#*l7[,Về nhà
貴重,きちょう,"precious, valuable",JLPT JLPT_2 JLPT_3,i#)MEqHOiw,có giá trị lớn
議長,ぎちょう,chairman,JLPT JLPT_2 JLPT_3,ivgef2]KwO,Chủ tịch
きちんと,きちんと,"precisely, accurately",JLPT JLPT_2 JLPT_3,"r#L,S)sfK&",thích hợp
きつい,きつい,"tight, close, intense",JLPT JLPT_2 JLPT_3,j)>u~$9^*r,chặt
気付く,きづく,"to notice, to recognize, to become aware of",JLPT JLPT_2 JLPT_3,xDh?wq7iT8,để ý
気に入る,きにいる,"to like, to be please",JLPT JLPT_2 JLPT_3,"uegN*W,m$w",Tôi thích nó
記入,きにゅう,"entry, filling in of forms",JLPT JLPT_2 JLPT_3,vlEX%x--1.,điền vào
記念,きねん,"commemoration, memory",JLPT JLPT_2 JLPT_3,H8>Vf=G.}w,đài tưởng niệm
機能,きのう,"function, faculty",JLPT JLPT_2 JLPT_3,QB(9=:5m2@,chức năng
気の毒,きのどく,"pitiful, a pity",JLPT JLPT_2 JLPT_3,qiFq+*QK@q,Tội nghiệp
寄付,きふ,"contribution, donation",JLPT JLPT_2 JLPT_3,P<<3-~akkr,Quyên góp
希望,きぼう,"hope, wish, aspiration",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,"rKl|qTb,g-",mong
基本,きほん,"basic, basis",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,r&MTg)%4_-,Nền tảng
決まり,きまり,"settlement, conclusion, rule",JLPT JLPT_2 JLPT_3,DmsWlm^9ML,Phán quyết
気味,きみ,"-like, -looking, -looked",JLPT JLPT_2 JLPT_3,iNru&P?85/,Cảm giác
奇妙,きみょう,"strange, queer, curious",JLPT JLPT_2 JLPT_3,LWN?@8(b&a,tuyệt vời
義務,ぎむ,"duty, obligation, responsibility",JLPT JLPT_2 JLPT_3,Da7kYMio|S,nghĩa vụ
疑問,ぎもん,"question, problem, doubt",JLPT JLPT_2 JLPT_3,zRRFu?JoKE,Câu hỏi
逆,ぎゃく,"reverse, opposite",JLPT JLPT_2 JLPT_3,EiDH#>VXk9,đảo ngược
キャプテン,キャプテン,captain,JLPT JLPT_2 JLPT_3,pQT]>v52;$,đội trưởng
キャンプ,キャンプ,camp,JLPT Genki_Ln.11 JLPT_3 JLPT_2 Genki,F4[L_8oSn,trại
旧,きゅう,ex-,JLPT JLPT_2 JLPT_3,wKI{_3LgUf,Cũ
級,きゅう,"class, grade, rank",JLPT JLPT_2 JLPT_3,ywhuZF1TJ0,lớp học
球,きゅう,"globe, sphere, ball",JLPT JLPT_2 JLPT_3,P<LmV^}EUI,quả bóng
休暇,きゅうか,"vacation, holiday, day off",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1,HtR8NVhhfe,kì nghỉ
休憩,きゅうけい,"rest, break, intermission",JLPT JLPT_2 JLPT_3,M?^9bN:14o,phá vỡ
急激,きゅうげき,"sudden, precipitous, radical",JLPT JLPT_2 JLPT_3,bR.b24bzOE,nhanh
吸収,きゅうしゅう,"absorption, suction",JLPT JLPT_2 JLPT_3,uP}=0<A&zm,hấp thụ
救助,きゅうじょ,"relief, aid, rescue",JLPT JLPT_2 JLPT_3,x{|!Zu?h8!,giải thoát
急速,きゅうそく,"rapid (e.g., progress)",JLPT JLPT_2 JLPT_3,H*fw]->cqe,nhanh
休息,きゅうそく,"rest, relief, relaxation",JLPT JLPT_2 JLPT_3,mFQb-ci%=n,nghỉ ngơi
急に,きゅうに,suddenly,JLPT JLPT_2 JLPT_3,nbPHpp}wLe,Đột nhiên
給料,きゅうりょう,"salary, wages",Genki_Ln.17 JLPT JLPT_3 JLPT_2 Genki,bFBKO):>Pu,lương
器用,きよう,"skillful, handy",JLPT JLPT_2 JLPT_3,j>:wz+YD-O,khéo léo
教科書,きょうかしょ,textbook,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Genki_Ln.6 Intermediate_Japanese_Ln.13 Genki,kkoTF|;.kp,sách giáo khoa
競技,きょうぎ,"game, match, contest",JLPT JLPT_2 JLPT_3,c3-]g>CAR$,cuộc thi
行儀,ぎょうぎ,manners,JLPT JLPT_2 JLPT_3,yCsCHa$b|3,Lễ nghi
供給,きょうきゅう,"supply, provision",JLPT JLPT_2 JLPT_3,H.&4r-|xC*,cung cấp
教授,きょうじゅ,"teaching, instruction; professor",JLPT JLPT_2 JLPT_3,j9WXPp%y<F,giáo sư
強調,きょうちょう,"emphasis, stress, stressed point",JLPT JLPT_2 JLPT_3,ekVG@ic`Qc,nhấn mạnh
共通,きょうつう,"commonness, mutual",JLPT JLPT_2 JLPT_3,iNbpa<XIBY,chung
共同,きょうどう,"cooperation, association, collaboration",JLPT JLPT_2 JLPT_3,M&4X!=%k6!,chung
恐怖,きょうふ,"fear, terror",JLPT JLPT_2 JLPT_3,E^f~?uHKoJ,nỗi sợ
協力,きょうりょく,"cooperation, collaboration",JLPT JLPT_2 JLPT_3,C?Z%aW?GmJ,sự hợp tác
強力,きょうりょく,"powerful, strong",JLPT JLPT_2 JLPT_3,"o`2(1ZfJ,z",mạnh mẽ
許可,きょか,"permission, approval",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4,xgOJVyt)!-,giấy phép
局,きょく,"office, bureau, station(TV, radio)",JLPT JLPT_2 JLPT_3,tQ0a`!@5U(,Cục
巨大,きょだい,"huge, gigantic, enormous",JLPT JLPT_2 JLPT_3,"xA&bS[Q4,y",to lớn
嫌う,きらう,"to hate, to dislike, to loathe",JLPT JLPT_2 JLPT_3,br%KM$_?V3,ghét
霧,きり,"fog, mist",JLPT JLPT_2 JLPT_3,xhY3{w-]xD,sương mù
切れ,きれ,"cloth, piece, cut",JLPT JLPT_2 JLPT_3,no-N<tQ].O,Cắt
切れる,きれる,"to cut well, to be sharp; to break (off)",JLPT JLPT_2 JLPT_3,vq3fa)$([j,Cắt
記録,きろく,"record, minutes, document",JLPT JLPT_2 JLPT_3,E9&**2T5hb,ghi 
議論,ぎろん,"argument, discussion, dispute",JLPT JLPT_2 JLPT_3,tHrivglW.I,Cuộc thảo luận
金,きん,"gold, metal; money",JLPT JLPT_2 JLPT_3,}{gI`5unu,vàng
銀,ぎん,silver,JLPT JLPT_2 JLPT_3,r=)`V@J5eU,bạc
禁煙,きんえん,No Smoking,JLPT JLPT_2 JLPT_3,O$<^K)0$)},cấm hút thuốc
金額,きんがく,amount of money,JLPT JLPT_2 JLPT_3,"MF#,QebEjl",Số lượng
金庫,きんこ,"safe, vault",JLPT JLPT_2 JLPT_3,fW#b}db?aR,an toàn
禁止,きんし,"prohibition, ban",JLPT JLPT_2 JLPT_3,Gdm1sTV(+-,cấm
金銭,きんせん,"money, cash",JLPT JLPT_2 JLPT_3,gfWr=5X>7*,tiền bạc
金属,きんぞく,metal,JLPT JLPT_2 JLPT_3,y9?7a-hRGY,Kim loại
近代,きんだい,modern times,JLPT JLPT_2 JLPT_3,":<%,Q>)l%",Thời hiện đại
緊張,きんちょう,"tension, mental strain, nervousness",JLPT JLPT_2 JLPT_3,G?ovKqSJ{(,lo lắng
筋肉,きんにく,"muscle, sinews",JLPT JLPT_2 JLPT_3,rIZ[8xFGmr,cơ bắp
金融,きんゆう,"finance, money and banking",JLPT JLPT_2 JLPT_3,ft);I1go9:,tài chính
句,く,phrase,JLPT JLPT_2 JLPT_3,s#j6K^u/Ut,câu
食う,くう,(male) (vulg.) to eat,JLPT JLPT_2 JLPT_3,m^2{l`XD/G,ăn
偶然,ぐうぜん,"(by) chance, unexpectedly",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4,Bjglx^BH1F,vô tình
臭い,くさい,"stinky, smelly, bad-smelling",JLPT JLPT_2 JLPT_3,wHN8;QJo.],mùi
鎖,くさり,chain,JLPT JLPT_2 JLPT_3,cOg]TL4|L&,Khóa
腐る,くさる,"to rot, to go bad",JLPT JLPT_2 JLPT_3,u_}*Hl&WiO,thối rữa
癖,くせ,"a habit (often a bad habit), peculiarity",JLPT JLPT_2 JLPT_3,Ae-]tyqPg+,thói quen
管,くだ,"pipe, tube",JLPT JLPT_2 JLPT_3,pL(+IcFnzy,Ống
具体,ぐたい,"concrete, tangible, material",JLPT JLPT_2 JLPT_3,j&j}xVZwy2,cụ thể
下り,くだり,down-train (going away from Tokyo),JLPT JLPT_2 JLPT_3,ll}#-y;}nb,Xuống
下る,くだる,"to get down, to descend",JLPT JLPT_2 JLPT_3,J8{HBuKP{o,Đi xuống
苦痛,くつう,"pain, agony",JLPT JLPT_2 JLPT_3,"gHRe}_+,oB",nỗi đau
