expression,reading,meaning,tags,guid,vietnamese_definition
細かい,こまかい,"small; fine, minute",JLPT JLPT_N4,PrWma5VeE[,khỏe
塗る,ぬる,"to paint, to plaster",JLPT JLPT_N4,gb*{+)EK`F,sơn
ご主人,ごしゅじん,"(your, her) husband",Genki Genki_Ln.14 JLPT JLPT_N4,"Gb,y/-3SAS",Chồng
珍しい,めずらしい,"unusual, rare",Intermediate_Japanese_Ln.4 JLPT JLPT_N4,LG3n^a@XAC,hiếm
用,よう,"errand, task, business (to take care of)",Intermediate_Japanese_Ln.9 JLPT JLPT_N4,CvxvGX`|/>,sử dụng
公務員,こうむいん,"government worker, public servant",JLPT JLPT_N4,p;42%b%y:T,công chức
お嬢さん,おじょうさん,(someone's) daughter (polite),Genki Genki_Ln.22 JLPT JLPT_N4,Ee+d{e?WRj,Cô gái trẻ
用意,ようい,preparation,JLPT JLPT_N4,"PJ%Q,E{$_L",sự chuẩn bị
探す,さがす,"to search, to seek, to look for",Genki Genki_Ln.15 Intermediate_Japanese_Ln.8 JLPT JLPT_N4,h4(YO`o85t,tìm kiếm
形,かたち,shape,JLPT JLPT_N4,f7_i%J0-/Y,hình dạng
運転,うんてんする,driving,JLPT JLPT_N4,r!zv#R0ur*,lái xe
すっかり,すっかり,"all, completely",JLPT JLPT_N4,nV=]]BK.9=,Hoàn toàn
アナウンサー,アナウンサー,announcer,JLPT JLPT_N4,oG?shn0:uO,người phát thanh viên
お土産,おみやげ,souvenir,Genki Genki_Ln.4 JLPT JLPT_N4,IKS:}hgF8q,quà lưu niệm
消しゴム,けしゴム,eraser,JLPT JLPT_N4,"gW^biR[nM,",cục tẩy
旅館,りょかん,a Japanese inn,Genki Genki_Ln.15 Intermediate_Japanese_Ln.6 JLPT JLPT_N4,Ke`aN1|5T#,ký túc xá
海岸,かいがん,"coast, seashore",JLPT JLPT_N4,O1]Ne=Q0*.,ven biển
寂しい,さびしい,"lonely, lonesome",Genki Genki_Ln.9 JLPT JLPT_N4,pi{)YOFX|t,cô đơn
火,ひ,fire,JLPT JLPT_N4,gjC}:7>!AJ,ngọn lửa
育てる,そだてる,to raise (v.t.); to bring up,Genki Genki_Ln.22 JLPT JLPT_N4,r6b~+z#uh_,Để nâng cao
味噌,みそ,"miso, bean paste",JLPT JLPT_N4,FzA7odIzvp,miso
お祝い,おいわい,"congratulation, celebration",Intermediate_Japanese_Ln.7 JLPT JLPT_N4,sQaWTq!hP`,Lễ ăn mừng
乗り物,のりもの,vehicle,JLPT JLPT_N4,i9[ZI9WM}X,phương tiện giao thông
案内,あんないする,"information, guidance",JLPT JLPT_N4,DO_nJ<yYaJ,hướng dẫn
通う,かよう,to go back and forth; to commute,JLPT JLPT_N4,D<g$_r(YBs,đi đến
連れる,つれる,"to lead, to take (a person)",JLPT JLPT_N4,J&sg+H>0p_,Lấy
技術,ぎじゅつ,"technique, technology, skill",JLPT JLPT_N4,PCC!&zGiCY,công nghệ
小鳥,ことり,small bird,JLPT JLPT_N4,G|$muceS&O,Chim nhỏ
下宿,げしゅく,"lodging, boarding house",JLPT JLPT_N4,"bmjB!,8T=p",nhà trọ
ジャム,ジャム,jam,JLPT JLPT_N4,D@h7*f7p?d,mứt
招待,しょうたいする,invitation,JLPT JLPT_N4,c$Y~;QF){;,lời mời
鏡,かがみ,mirror,JLPT JLPT_N4,v%J5x[E:;(,gương
はず,はず,it should be so,JLPT JLPT_N4,Jg5{R&fxyH,nên
法律,ほうりつ,law,JLPT JLPT_N4,O9|FD5Fq3.,pháp luật
進む,すすむ,"to advance, to proceed",JLPT JLPT_N4,b6Re}g0};8,tiếp tục
楽む,たのしむ,to enjoy,JLPT JLPT_N4,iCe:{Xn-6L,Thưởng thức
貿易,ぼうえき,trade,JLPT JLPT_N4,bc9Yp10YbE,giao dịch
反対,はんたい,"oppose, opposition, resistance",JLPT JLPT_N4,KY]P)[osSM,phe đối lập
おる,おる,-- extra-modest expression for いる --,Genki Genki_Ln.20 JLPT JLPT_N4,Adc_Jds{te,là
申す,もうす,-- extra-modest (humble) expression for 言う (いう) --,Genki Genki_Ln.20 JLPT JLPT_N4,e<WJ-6`NVb,Tôi nói
試験,しけん,an exam,Genki Genki_Ln.9 JLPT JLPT_N4,bUCd_5rR^-,Bài kiểm tra
真面目,まじめ,"diligent, serious",JLPT JLPT_N4,xK*F{fx?.z,nghiêm trọng
ごらんになる,,-- honorific expression for みる --,Genki Genki_Ln.19 JLPT JLPT_N4,k(j]!OR1gM,Hãy xem nào!
店員,てんいん,clerk; shop-employee,Intermediate_Japanese_Ln.6 JLPT JLPT_N4,GeFU%up;F{,nhân viên văn phòng
泊まる,とまる,to stay (over night) (v.i.),JLPT JLPT_N4,IbHq#Ubd>&,ở lại
よろしい,よろしい,"(hon.) good, OK, all right",JLPT JLPT_N4,Ah<}g#ysAC,Đồng ý
今夜,こんや,"this evening, tonight",JLPT JLPT_N4,qWO]e*;%U},tối nay
おつり,おつり,change; balance of money returned to the purchaser,JLPT JLPT_N4,wx#vXTnj!Z,Thay đổi
チェックする,チェックする,check,JLPT JLPT_N4,o%*Ndg~YHB,Kiểm tra
会話,かいわ,conversation,JLPT JLPT_N4,dD;CvmzQ9b,cuộc hội thoại
空気,くうき,"air, atmosphere",Genki Genki_Ln.8 JLPT JLPT_N4,C)1Z!^eB^|,không khí
交通,こうつう,"traffic, transportation",JLPT JLPT_N4,AyJ>}k*DyK,vận tải
ワープロ,ワープロ,word processor,JLPT JLPT_N4,!Qc[fI`%{,trình xử lý văn bản
喜ぶ,よろこぶ,"to rejoice, to be delighted, to be glad",JLPT JLPT_N4,DF7Py?yTD[,hãy hạnh phúc
急行,きゅうこう,express train or bus,Intermediate_Japanese_Ln.7 JLPT JLPT_N4,t]K/5%].:3,Thể hiện
皆,みな,everyone,JLPT JLPT_N4,r56e/uzKVH,tất cả
味,あじ,"flavor, taste",JLPT JLPT_N4,B]?q9zUNzO,nếm
空港,くうこう,airport,Genki Genki_Ln.20 JLPT JLPT_N4,Qgx/]mMiIj,sân bay
手袋,てぶくろ,glove(s),Genki Genki_Ln.10 JLPT JLPT_N4,LM6P1@!I~2,găng tay
校長,こうちょう,"principal, headmaster",JLPT JLPT_N4,eI/Ghjq;7/,hiệu trưởng
ごちそう,ごちそう,"feast, treating (someone)",JLPT JLPT_N4,D/ibPniDYT,Lễ hội
踊り,おどり,dance,JLPT JLPT_N4,J=*Z|>n+QR,nhảy
興味,きょうみ,interest (in something),JLPT JLPT_N4,DIyl0xA#)2,quan tâm
引っ越す,ひっこす,to move to a new place of residence,JLPT JLPT_N4,EGeSfwOFZ.,di chuyển
冷房,れいぼう,"cooling, air conditioning",JLPT JLPT_N4,stZHJs{qvP,làm mát
都合,つごう,"circumstances, convenience",JLPT JLPT_N4,b;szYJp1~0,sự tiện lợi
遠慮,えんりょする,"restraint, reserve, hesitate",JLPT JLPT_N4,uqPUmCD*1n,điệp khúc
亡くなる,なくなる,to pass away,JLPT JLPT_N4,Iq_q:mI=}n,chết
科学,かがく,science,Genki Genki_Ln.1 JLPT JLPT_N4,gWOi-(wW;M,khoa học
はっきり,はっきり,"clearly, distinctly",JLPT JLPT_N4,soMm6B)m]t,rõ ràng
差し上げる,さしあげる,-- humble expression for あげる --,Genki Genki_Ln.20 JLPT JLPT_N4,zkSrvJWm{I,đưa cho
気持ち,きもち,"feeling, sensation, mood",JLPT JLPT_N4,P!ajdoiyb.,cảm giác
祖父,そふ,grandfather,JLPT JLPT_N4,ytyAfRG*6x,ông nội
港,みなと,"harbor, port",JLPT JLPT_N4,sHl5)cnUcM,cảng
予約,よやく,reservation,Genki Genki_Ln.10 JLPT JLPT_N4,rSce1JPbkI,sự đặt chỗ
凄い,すごい,"terrific, great",JLPT JLPT_N4,P~)7jIfH{m,tuyệt vời
入学,にゅうがくする,entry to school or university,JLPT JLPT_N4,"jo:/>1,9uU",Đăng ký
片付ける,かたづける,"to (clean) tidy up (v.t.), to put away",JLPT JLPT_N4,Ef_Twp5ERS,cất đi
写す,うつす,to copy (v.t.); to photograph,JLPT JLPT_N4,x|L%TU)*iv,Sao chép
パソコン,パソコン,(personal) computer,JLPT JLPT_N4,tQ#JE!pNrV,Máy tính
部長,ぶちょう,department (division) manager,Genki Genki_Ln.19 Intermediate_Japanese_Ln.15 JLPT JLPT_N4,O:v<m}n3*n,bộ trưởng
火事,かじ,fire,JLPT JLPT_N4,Kll.Pvc/gB,ngọn lửa
足す,たす,to add (numbers),JLPT JLPT_N4,M:pOTP>t7-,Thêm vào
教会,きょうかい,church,Intermediate_Japanese_Ln.9 JLPT JLPT_N4,oA&[8r+GKm,nhà thờ
彼ら,かれら,they (usually male),JLPT JLPT_N4,k?K1].&L.0,họ
一杯,いっぱい,"full, to the utmost",JLPT JLPT_N4,w&/o{@M=$:,một cốc
アメリカ,アメリカ,"America, U.S.A.",Genki Genki_Ln.1 Genki_Ln.2 JLPT JLPT_N4,IVipO?aKE#,Nước Mỹ
男性,だんせい,man; male,JLPT JLPT_N4,r6Y+#Vxx9S,nam giới
理由,りゆう,reason,JLPT JLPT_N4,P7}t{e2du#,lý do
生産,せいさんする,production; to produce,JLPT JLPT_N4,pm+O;C4U:>,sản xuất
着物,きもの,kimono; Japanese traditional dress,Genki Genki_Ln.13 JLPT JLPT_N4,"A(ZdyF5k,T",kimono
おもちゃ,おもちゃ,a toy,Genki Genki_Ln.11 JLPT JLPT_N4,Cf`[JaXL7u,đồ chơi
暮れる,くれる,"to get dark, to come to an end",JLPT JLPT_N4,i-JL+Sl!mg,hoàng hôn
釣る,つる,to fish,JLPT JLPT_N4,"GWJ%g`TG,o",cá
～ちゃん,～ちゃん,suffix for familiar (female) person,JLPT JLPT_N4,r2m3z~%1s],~chan
打つ,うつ,"to hit, to strike",JLPT JLPT_N4,pBs^gx/@>a,đánh đập
あんな,あんな,"such, like that",JLPT JLPT_N4,K%g**4JE#C,Cái đó
謝る,あやまる,to apologize,JLPT JLPT_N4,C%+Y^2-4l[,xin lỗi
昼間,ひるま,"daytime, during the day",JLPT JLPT_N4,p3^ge-^eJl,ban ngày
教育,きょういく,education,JLPT JLPT_N4,HW9*4`esHu,giáo dục
女性,じょせい,woman,JLPT JLPT_N4,E9gO2XIg*K,đàn bà
米,こめ,uncooked rice,JLPT JLPT_N4,"t,HSQDh#2",cơm
邪魔,じゃま,"hindrance, intrusion",JLPT JLPT_N4,c]>yivA`ny,trở ngại
国際,こくさい,international,JLPT JLPT_N4,f~g3tMo97^,quốc tế
隅,すみ,corner,JLPT JLPT_N4,eeOvjZ5zl.,góc
伺う,うかがう,"humble form of 行く (いく), 聞く (きく) and 来る (くる)",JLPT JLPT_N4,Lmfy{2F]$A,Tôi sẽ hỏi
再来週,さらいしゅう,the week after next,JLPT JLPT_N4,kKHM?VM`7o,Tuần sau nữa
夢,ゆめ,a dream,Genki Genki_Ln.11 JLPT JLPT_N4,lZn7[}J9+0,mơ
喉,のど,throat,JLPT JLPT_N4,c+C3t7I~.8,cổ họng
最近,さいきん,"recently, nowadays, in recent years, most recent, latest",Genki Genki_Ln.15 Intermediate_Japanese_Ln.9 JLPT JLPT_N4,e2RD]Myt9A,gần đây
周り,まわり,surroundings,JLPT JLPT_N4,fhT%f*K[Vx,môi trường xung quanh
歴史,れきし,history,Genki Genki_Ln.1 Genki_Ln.2 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,lQ}Sxv&`A!,lịch sử
不便,ふべん,inconvenience,JLPT JLPT_N4,C!<M[IO(?_,bất tiện
血,ち,blood,JLPT JLPT_N4,0ihaC]*Q^,Máu
～続ける,～つづける,to continue doing ~,JLPT JLPT_N4,JHO_m/Gf)j,~tiếp tục
毛,け,"hair, fur",JLPT JLPT_N4,gsy(C|!IEU,tóc
ひどい,ひどい,"terrible, awful, unfair, cruel",Genki Genki_Ln.21 Intermediate_Japanese_Ln.4 JLPT JLPT_N4,M6<?LBefmj,kinh khủng
例えば,たとえば,"for example, e.g.",Genki Genki_Ln.17 Intermediate_Japanese_Ln.2 JLPT JLPT_N4,n/o*9@bFx6,Ví dụ
中々,なかなか,"very, considerably, quite",JLPT JLPT_N4,@YWCVJq=),Không hẳn
随分,ずいぶん,extremely,JLPT JLPT_N4,NMl:D%#1zF,Khá
～やすい,～やすい,easy to do ~,JLPT JLPT_N4,exjp1w(~N7,~dễ
押し入れ,おしいれ,closet,JLPT JLPT_N4,Al&#S)GWr$,buồng nhỏ
電灯,でんとう,electric light,JLPT JLPT_N4,jodPP9K~W{,đèn điện
叱る,しかる,to scold,JLPT JLPT_N4,LMzmk?%TI!,mắng mỏ
サンダル,サンダル,sandal,JLPT JLPT_N4,nKx7m0Vnj8,dép
びっくりする,びっくりする,to be surprised,Genki Genki_Ln.21 JLPT JLPT_N4,Cr@7!m+n{m,Thật bất ngờ!
うまい,うまい,delicious; skillful; fortunate,JLPT JLPT_N4,"C`4~Q!,KRn",Tốt
変える,かえる,"to change, to alter, to vary",JLPT JLPT_N4,x+80xLQg^-,thay đổi
講堂,こうどう,auditorium,JLPT JLPT_N4,ktg9A%:iyA,Giảng đường
子,こ,child,JLPT JLPT_N4,u.wVLBCC7[,đứa trẻ
沸かす,わかす,to boil,JLPT JLPT_N4,"d,.x::f0>g",đun sôi
レジ,レジ,register,JLPT JLPT_N4,m?VOxpy?_K,máy tính tiền
しばらく,しばらく,little while,JLPT JLPT_N4,w1JlkP{0C8,trong một thời gian
特に,とくに,particularly,Intermediate_Japanese_Ln.3 JLPT JLPT_N4,Qf=L0@hP&F,đặc biệt
空く,あく,"to open, to become empty (vacant)",JLPT JLPT_N4,Cg0$u|Ogik,trống
計画,けいかくする,"plan, project, schedule",JLPT JLPT_N4,s2fE.u9}xk,kế hoạch
通り,とおり,"~ Street, ~ Avenue",JLPT JLPT_N4,QBI<)8t#SN,đường phố
下着,したぎ,underwear,JLPT JLPT_N4,tFl(JKOvJ3,đồ lót
経済,けいざい,"economics, finance, economy",JLPT JLPT_N4,rJHgD<t_i_,kinh tế
こう,こう,"like this, this way",JLPT JLPT_N4,Q%+*%s6}J9,như thế này
是非,ぜひ,"certainly, by all means; without fail",Genki Genki_Ln.9 Intermediate_Japanese_Ln.15 Intermediate_Japanese_Ln.8 JLPT JLPT_N4,kray(3KD^X,Tôi rất muốn
裏,うら,"reverse side, back",JLPT JLPT_N4,pQ2heE~587,mặt sau
為,ため,"good, advantage, in order to",JLPT JLPT_N4,Fly+C7B(R*,vì
おいでになる,おいでになる,(hon.) to be,JLPT JLPT_N4,ok-j:Fq]#X,Họ đang đến
変わる,かわる,"to change (v.i.), to be transformed, to vary",Intermediate_Japanese_Ln.4 JLPT JLPT_N4,N?)pR_`l)L,thay đổi
以外,いがい,"other than, with the exception of, excepting",Intermediate_Japanese_Ln.3 JLPT JLPT_N4,io5npAJ^ZJ,ngoài ra
済む,すむ,"to finish, to end",JLPT JLPT_N4,eQV4%/qxB),Xong
ハンバーグ,ハンバーグ,hamburger steak,JLPT JLPT_N4,zs3r)kO4N*,Bít tết Hamburg
市,し,city,JLPT JLPT_N4,rXed<x$qC(,thành phố
引き出し,ひきだし,drawer,JLPT JLPT_N4,tGG+yHdqmL,ngăn kéo
遊び,あそび,play,JLPT JLPT_N4,"O8zue,3OP7",chơi
支度,したくする,preparation,JLPT JLPT_N4,QsqU&|{INc,Sự chuẩn bị
～始める,～はじめる,to start doing ~,JLPT JLPT_N4,BA.Jz]NK1.,~để bắt đầu
見える,みえる,to be visible; -- polite verb meaning 来る (くる) --,Genki Genki_Ln.15 JLPT JLPT_N4,cEonZn&vE$,xuất hiện
十分,じゅうぶん,enough,JLPT JLPT_N4,vgB;={Nvrv,rất
音,おと,"sound, note",Genki Genki_Ln.20 JLPT JLPT_N4,y~nFfa-~?d,âm thanh
きっと,きっと,"surely, definitely, undoubtedly, certainly",Intermediate_Japanese_Ln.7 JLPT JLPT_N4,>[X6H]9HU,chắc chắn
まず,まず,"first (of all), to start with",Genki Genki_Ln.18 JLPT JLPT_N4,b.U+m9N1DV,Đầu tiên
遠く,とおく,"far away, distant",JLPT JLPT_N4,P.EKUt5=[B,xa
大体,だいたい,approximately; in most cases; in general; to begin with (same as もともと),Intermediate_Japanese_Ln.15 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,PoQwq(:pGi,đại khái
折れる,おれる,"to break, to be folded, to give in; to turn (a corner)",JLPT JLPT_N4,"C>N,+q5aTm",phá vỡ
正しい,ただしい,correct,JLPT JLPT_N4,ynVxN8fR|I,Chính xác
輸入,ゆにゅう,import,JLPT JLPT_N4,c#?sbZfFpt,đi vào
返事,へんじ,"reply, answer",JLPT JLPT_N4,KqUGjMWU_#,hồi đáp
都,と,metropolitan,JLPT JLPT_N4,OcM{?!kX-7,Tất cả
産業,さんぎょう,industry,JLPT JLPT_N4,r<I`MSX5aQ,ngành công nghiệp
伝える,つたえる,"to convey (a message); to tell, to report",Genki Genki_Ln.20 Intermediate_Japanese_Ln.15 JLPT JLPT_N4,"z>dT,I0S3h",kể
お金持ち,かねもち; おかねもち,rich person,JLPT JLPT_N4,H?Z`hWb&65,giàu có
説明,せつめい,explanation,JLPT JLPT_N4,jzx*<D-6cG,giải thích
島,しま,island,Intermediate_Japanese_Ln.5 JLPT JLPT_N4,AOZjwUDN5g,hòn đảo
道具,どうぐ,tool,JLPT JLPT_N4,Me$$/AnEcv,dụng cụ
滑る,すべる,"to slide, to slip",JLPT JLPT_N4,nobw)6B/(-,cầu trượt
それほど,それほど,to that degree; extent,JLPT JLPT_N4,tq|Owona;B,Vì thế
以上,いじょう,more than; this is all,JLPT JLPT_N4,kbfzlR:5u>,Vậy thôi.
～まま,～まま,as it is,JLPT JLPT_N4,j#zKPMXsT3,~mẹ
特急,とっきゅう,limited express (train faster than an express),JLPT JLPT_N4,sOgOxrQFHN,Tốc hành giới hạn
プレゼント,プレゼント,"present, gift",Genki Genki_Ln.12 JLPT JLPT_N4,FrsjD-2$(X,hiện tại
～(に) よると,～(に) よると,according to ~,JLPT JLPT_N4,erz+S2{yL|,Theo
妻,つま,wife (humble),JLPT JLPT_N4,pfL{;:Bm<O,vợ
帰り,かえり,"return, coming back",JLPT JLPT_N4,A1{^9x(Ly$,trở lại
具合,ぐあい,"condition, state, health",JLPT JLPT_N4,Ha+Fpz*nIy,Tình trạng
堅; 硬; 固い,かたい,"solid, hard, firm",JLPT JLPT_N4,Qr]]OTGag7,Cứng; chắc; vững chắc
駐車場,ちゅうしゃじょう,parking lot,JLPT JLPT_N4,Q9!i44Gj}q,đỗ xe
スーツ,スーツ,suit,JLPT JLPT_N4,"M~,%txA#EO",bộ đồ
危険,きけん,"danger, risk, hazard",Intermediate_Japanese_Ln.15 JLPT JLPT_N4,f#x=KD-)bk,sự nguy hiểm
髪,かみ,hair,Genki Genki_Ln.7 JLPT JLPT_N4,roFwJrlfKR,tóc
天気予報,てんきよほう,weather forecast,Genki Genki_Ln.8 JLPT JLPT_N4,rN#1gCRiI^,dự báo thời tiết
彼女,かのじょ,girlfriend; she,Genki Genki_Ln.12 JLPT JLPT_N4,xL3J@WlS{%,cô ấy
間,あいだ,"space, interval",JLPT JLPT_N4,MXEynMn6*x,giữa
卒業,そつぎょう,graduation,JLPT JLPT_N4,yOSz]L8FJS,tốt nghiệp
それで,それで,"and (conj.), thereupon, because of that",JLPT JLPT_N4,rZ[:sRogcN,Vì thế
枝,えだ,"branch, twig",JLPT JLPT_N4,FAl}KCf:~8,chi nhánh
専門,せんもん,major; speciality,Genki Genki_Ln.1 JLPT JLPT_N4,k;2({qLOGz,Chuyên ngành
そろそろ,そろそろ,"gradually, soon",JLPT JLPT_N4,Q|>K44^N++,Sắp đến giờ rồi
送る,おくる,"to send, to dispatch",Genki Genki_Ln.14 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,e1#_xMS<)@,gửi
あげる,あげる,to give,JLPT JLPT_N4,w6NP$s|k?>,đưa cho
騒ぐ,さわぐ,"to make noise, to clamor",JLPT JLPT_N4,E-jyAQ+?xZ,ồn ào
尋ねる,たずねる,to inquire (same as 質問する),JLPT JLPT_N4,B;}vj%?W%Z,hỏi
放送,ほうそうする,broadcasting,JLPT JLPT_N4,HT(fAub[.Z,phát tin
政治,せいじ,politics,Genki Genki_Ln.1 Genki_Ln.12 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,LbbPDli%;(,chính trị
市民,しみん,citizen,JLPT JLPT_N4,KnKdz8[G7<,Công dân
ファックス,ファックス,fax,JLPT JLPT_N4,sG]9/N[j*>,fax
負ける,まける,"to lose (a game) (v.i.), to be defeated",Intermediate_Japanese_Ln.7 JLPT JLPT_N4,t-t/Tk%(SS,thua
指輪,ゆびわ,(finger) ring,Genki Genki_Ln.14 JLPT JLPT_N4,By9Xq1v4J{,nhẫn
田舎,いなか,"rural, countryside",JLPT JLPT_N4,qO;XWK^*$*,nông thôn
見つける,みつける,"to discover, to find (v.t.)",Genki Genki_Ln.21 JLPT JLPT_N4,JSBDi~:Uul,tìm thấy
高校生,こうこうせい,high school student,Genki Genki_Ln.1 JLPT JLPT_N4,s|lGtGG1fi,học sinh trung học
講義,こうぎ,a lecture,Intermediate_Japanese_Ln.5 JLPT JLPT_N4,q(32?ls(B3,bài giảng
そんなに,そんなに,"so much, like that",JLPT JLPT_N4,pG^h}ycj3(,Vì thế
昼休み,ひるやすみ,"lunch break, noon recess",JLPT JLPT_N4,lFVXC$-X%0,giờ nghỉ trưa
忘れ物,わすれもの,"lost article, something forgotten",JLPT JLPT_N4,c>u.i{BBMW,đồ vật bị mất
下りる,おりる,"to get down, to go; come down",JLPT JLPT_N4,"d9,VKd=RU=",Rời đi
腕,うで,arm (in reference to body),Intermediate_Japanese_Ln.7 JLPT JLPT_N4,AiW}:.4@ze,cánh tay
訳,わけ,reason; explanation,JLPT JLPT_N4,usS4^zwn[>,lý do
承知,しょうちする,"consent, acceptance",JLPT JLPT_N4,H:BcaGHLGe,Đã hiểu
日記,にっき,"diary, journal",Genki Genki_Ln.18 JLPT JLPT_N4,"BMMWqQZ#[,",nhật ký
高校; 高等学校,こうこう; こうとうがっこう,high school; senior high school,JLPT JLPT_N4,KKBE9#o7:F,Các cơ sở giáo dục đại học; trường cao đẳng và đại học
似る,にる,"to resemble, to be similar",JLPT JLPT_N4,i`_a~no4G!,giống
～おわる,～おわる,to finish doing ~,JLPT JLPT_N4,qwf(Try}@4,~Kết thúc
暖房,だんぼう,heating,JLPT JLPT_N4,dvn`p4e0P6,sưởi ấm
留守,るす,absence; not at home,Genki Genki_Ln.21 JLPT JLPT_N4,BK(gHI]ze3,Ở lại
割合,わりあい,"rate, ratio, percentage",JLPT JLPT_N4,vGMwhqQc%{,tỷ lệ
寺,てら,Buddhist temple,JLPT JLPT_N4,Hiagec7p~[,ngôi đền
慣れる,なれる,to grow accustomed to,JLPT JLPT_N4,m30?cbGY7<,Hãy làm quen với điều đó
普通,ふつう,common; usual,Intermediate_Japanese_Ln.2 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,s:f#izD=u2,thường xuyên
手伝う,てつだう,to help,JLPT JLPT_N4,s_Pi8jG!6%,giúp đỡ
なるほど,なるほど,I see; I now understand,Intermediate_Japanese_Ln.6 JLPT JLPT_N4,b:e%Ujd8JZ,tôi hiểu rồi
くださる,くださる,"(hon.) to give, to confer",JLPT JLPT_N4,sPmqOCO=cT,đưa cho
息子,むすこ,(humble) son,JLPT JLPT_N4,xE%1d@q~=0,con trai
お子さん,おこさん,(someone else's) child (polite),Genki Genki_Ln.19 JLPT JLPT_N4,JfH~5*U.a_,Con của bạn
会場,かいじょう,"venue, meeting place",JLPT JLPT_N4,rYhMPU9-hG,địa điểm
笑う,わらう,"to laugh, to smile",JLPT JLPT_N4,y~ow$kbx8M,nụ cười
運ぶ,はこぶ,"to transport, to carry",Genki Genki_Ln.22 Intermediate_Japanese_Ln.6 JLPT JLPT_N4,v9DX2R5H-S,mang
文学,ぶんがく,literature,Genki Genki_Ln.1 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,"lUX,?(3;D]",văn học
光,ひかり,light,JLPT JLPT_N4,qZgkVt9uh<,Ánh sáng
お見舞い,おみまい,"calling on someone who is ill, visit",JLPT JLPT_N4,vi}b>#%^FD,Đi thăm người bệnh
席,せき,a seat,Intermediate_Japanese_Ln.7 JLPT JLPT_N4,frRhF)UU}W,ghế
～様,～さま,"Mr., Mrs., Ms.",JLPT JLPT_N4,JidByAlQoq,~sama
ご存じ,ごぞんじ,"knowing, acquaintance",JLPT JLPT_N4,k8%o+}YbEd,Như bạn đã biết
下る,さがる,"to descend, to drop, to fall",JLPT JLPT_N4,oX|5UGkIW2,Đi xuống
字,じ,letter; character,Genki Genki_Ln.20 JLPT JLPT_N4,paD_A<.{(!,Tính cách
アジア,アジア,Asia,JLPT JLPT_N4,"Q{IM`lB,o7",Châu Á
褒める,ほめる,to praise; to say nice things,Genki Genki_Ln.21 JLPT JLPT_N4,!.H?[6|B.,khen
空く,すく,"to be empty (in reference to people), to be less crowded",JLPT JLPT_N4,fg<?z[S^C:,trống
あ,あ,Ah,JLPT JLPT_N4,qc]3W&Jc<m,Một
最も,もっとも,most,JLPT JLPT_N4,TJ2Lm-F`{,hầu hết
合う,あう,"to fit, to match",JLPT JLPT_N4,OAIc&<q]o$,phù hợp
～代,～だい,~ age; period,JLPT JLPT_N4,y4r%$Sls[D,~ thế hệ
最後,さいご,"last, end",JLPT JLPT_N4,P^V7$JoB=L,cuối cùng
値段,ねだん,price,JLPT JLPT_N4,E3[j8aN}XJ,giá 
退院,たいいんする,leaving hospital,JLPT JLPT_N4,E-^*b8-xhX,Xuất viện
展覧会,てんらんかい,exhibition,JLPT JLPT_N4,PN~#oqMNRx,triển lãm
久しぶり,ひさしぶり,it has been a long time; for the first time in a long time,Genki Genki_Ln.11 Intermediate_Japanese_Ln.4 JLPT JLPT_N4,"J`#Y!H,,<%",Lâu rồi không gặp
カーテン,カーテン,curtain,Genki Genki_Ln.18 JLPT JLPT_N4,NFW!?qkYyo,tấm màn
汽車,きしゃ,train (steam),JLPT JLPT_N4,KH0a_3!CiN,xe hơi
遅れる,おくれる,to (be) become late,Genki Genki_Ln.19 Intermediate_Japanese_Ln.2 JLPT JLPT_N4,rDxLnq^]Ph,Bị trì hoãn
見つかる,みつかる,"to be found (v.i.), to be discovered",JLPT JLPT_N4,b>m8LlfHOm,Thành lập
召し上がる,めしあがる,-- honorific form of 食べる (たべる) and 飲む (のむ) --,Genki Genki_Ln.19 Intermediate_Japanese_Ln.6 JLPT JLPT_N4,Fa=r1a7`zE,Để ăn
太る,ふとる,to gain weight,Genki Genki_Ln.7 JLPT JLPT_N4,BN&?E=z3*H,Hãy béo lên!
注射,ちゅうしゃ,injection,JLPT JLPT_N4,lG`+>+=?Os,tiêm
様,よう,"way, manner, kind",JLPT JLPT_N4,t[MNQO-W6,Ông
～おき,～おき,after every ~,JLPT JLPT_N4,ISv;l<*PQR,~
最初,さいしょ,"beginning, first",JLPT JLPT_N4,uJfgbAk&PM,Đầu tiên
御～,ご～,honorable ~,JLPT JLPT_N4,b?YXE$9w]A,Ô~
安心,あんしん,"peace of mind, relief",JLPT JLPT_N4,C^vt]hY6vW,sự an tâm
直る,なおる,to be fixed,JLPT JLPT_N4,wOi%P<vl?O,Vấn đề sẽ được khắc phục.
集める,あつめる,"to collect, to gather (v.t.), to assemble",Genki Genki_Ln.16 Intermediate_Japanese_Ln.7 JLPT JLPT_N4,OW4zN$vq<h,sưu tầm
直す,なおす,to correct (v.t.); to fix,Genki Genki_Ln.16 JLPT JLPT_N4,g9g}aXNY+w,sửa chữa
続く,つづく,to be continued,JLPT JLPT_N4,"I,82^s2,ha",Còn tiếp
