expression,reading,meaning,tags,guid,vietnamese_definition
配慮,はいりょ,"consideration, concern, forethought",JLPT_1 JLPT,poW=.ChJSm,xem xét
配列,はいれつ,"arrangement, array (programming)",JLPT_1 JLPT,cC<!?;J:<g,mảng
破壊,はかい,destruction,JLPT_1 JLPT,v!Zp^6YAqE,sự phá hủy
いたわる,いたわる,"to sympathize with, to console, to care for",JLPT_1 JLPT,wcGai|q>xT,để chăm sóc
一概に,いちがいに,"unconditionally, necessarily",JLPT_1 JLPT,hLV>poM3Dq,Nói chung
著しい,いちじるしい,"remarkable, considerable",JLPT_1 JLPT,"kPPz=m,gRR",đáng chú ý
一同,いちどう,"all present, all concerned, all of us",JLPT_1 JLPT,O|v*CB_J$V,cùng nhau
一部分,いちぶぶん,"a part, a portion",JLPT_1 JLPT,kC:AyoQ(VZ,Phần
一別,いちべつ,parting,JLPT_1 JLPT,P}9Ns5lV8E,Tạm biệt
一面,いちめん,"one side, the other hand",JLPT_1 JLPT,Nx0OsZUH*E,một bên
一目,いちもく,"a glance, a look, a glimpse",JLPT_1 JLPT,saAg*cc00y,cái nhìn thoáng qua
一様,いちよう,"uniform, similar, equal",JLPT_1 JLPT,4Npj$}s^v,đồng phục
一律,いちりつ,"even, uniform, equal",JLPT_1 JLPT,s7Bp#3`c^s,Tất cả
一連,いちれん,"a series, a chain, a ream (of paper)",JLPT_1 JLPT,"K`?fU[;],#",Một loạt
一括,いっかつ,"all together, batch",JLPT_1 JLPT,hhovzuJKNB,Lô
一気,いっき,"at one push, in one gulp",JLPT_1 JLPT,CgBD$%2<51,Tất cả cùng một lúc
一挙に,いっきょに,"at a stroke, with a single swoop",JLPT_1 JLPT,F:IKX%#S}~,Tất cả cùng một lúc
一見,いっけん,"a look, a glimpse, glance; first meeting",JLPT_1 JLPT,NZ6>sHobC*,Thoạt nhìn
一切,いっさい,"without exception, the whole",JLPT_1 JLPT,v}WLTgJ@1I,mọi thứ
一心,いっしん,"one mind, with rapt attention",JLPT_1 JLPT,cClq^_-/LZ,Một trái tim
いっそ,いっそ,"rather, sooner, might as well",JLPT_1 JLPT,Ii]&B%6J^H,Hơn là
一変,いっぺん,complete change,JLPT_1 JLPT,ek#.`h}8]>,Đã thay đổi hoàn toàn
意図,いと,"intention, aim, design",JLPT_1 JLPT,"Nv%*-6B!(,",chủ đích
営む,いとなむ,"to carry on (e.g., in ceremony), to run a business",JLPT_1 JLPT,DwKEu03*|H,để chạy
挑む,いどむ,to challenge,JLPT_1 JLPT,c_-t#iEGZZ,Thử thách
稲光,いなびかり,(flash of) lightning,JLPT_1 JLPT,c#^JVd1}UB,sét
祈り,いのり,"prayer, supplication",JLPT_1 JLPT,Ma]tANx6d6,lời cầu nguyện
いびき,いびき,snoring,JLPT_1 JLPT,C/{&bugX+},ngáy
今更,いまさら,"now, again",JLPT_1 JLPT,hj*29Ug#1R,Hiện nay
未だ,いまだ,"yet, still",JLPT_1 JLPT,p:dli@Jl!z,vẫn
移民,いみん,"emigrant, immigrant",JLPT_1 JLPT,CLJ[Ns`Z6Z,người di cư
嫌々,いやいや,"reluctantly, by no means, unwillingly",JLPT_1 JLPT,QjHKtey?XJ,không muốn
卑しい,いやしい,"greedy, vulgar, shabby",JLPT_1 JLPT,vBh9gD/$!+,căn cứ
いやに,いやに,"awfully, terribly",JLPT_1 JLPT,qpdLL_V*P#,Bất thường
いやらしい,いやらしい,"unpleasant, disgusting, indecent",JLPT_1 JLPT,D<T6@Y-YD4,Bẩn thỉu
意欲,いよく,"will, desire, ambition",JLPT_1 JLPT,Fq(`u%{Obm,Động lực
威力,いりょく,"power, might, authority",JLPT_1 JLPT,r5er8dT<)9,quyền lực
衣類,いるい,"clothes, clothing, garments",JLPT_1 JLPT,QbNSCWqQ4!,quần áo
異論,いろん,"different opinion, objection",JLPT_1 JLPT,A?E^7mu[K@,Sự bất đồng
印鑑,いんかん,"stamp, seal",JLPT_1 JLPT,cTR~#z|<0M,dấu chữ ký
陰気,いんき,"gloom, melancholy",JLPT_1 JLPT,A-+&-Fy%1r,ảm đạm
隠居,いんきょ,retirement; retired person,JLPT_1 JLPT,b^vje[Ox#X,Nghỉ hưu
インターチェンジ,インターチェンジ,interchange,JLPT_1 JLPT,"rBKXdv$/G,",Điểm giao nhau
インターナショナル,インターナショナル,international,JLPT_1 JLPT,JmV&U~p0X$,Quốc tế
インターフォン,インターフォン,"entry phone, intercom",JLPT_1 JLPT,AO3rDw-;8U,Hệ thống liên lạc nội bộ
インテリ,インテリ,"(abbr.) egghead, intelligentsia",JLPT_1 JLPT,piGc%@]7]l,Trí thức
インフォメーション,インフォメーション,information,JLPT_1 JLPT,KO4Fli5w!*,Thông tin
インフレ,インフレ,(abbr.) inflation,JLPT_1 JLPT,QC}1+m@@J*,lạm phát
受かる,うかる,to pass (examination),JLPT_1 JLPT,gIq*pkmfp{,Vượt qua
受け入れ,うけいれ,"receiving, acceptance",JLPT_1 JLPT,j&5piEC:H:,chấp nhận
受け入れる,うけいれる,"to accept, to receive",JLPT_1 JLPT,i_JCrJB_9E,chấp nhận
受け継ぐ,うけつぐ,"to inherit, to succeed",JLPT_1 JLPT,x6H#Y*OpNS,kế thừa
受け付ける,うけつける,"to be accepted, to receive (an application)",JLPT_1 JLPT,wJiQ/5Nn/x,chấp nhận
受け止める,うけとめる,"to catch, to react to, to take",JLPT_1 JLPT,kQB/rB@6#x,Chấp nhận
受身,うけみ,"passive, passive voice",JLPT_1 JLPT,AB05ev+c>K,thụ động
受持ち,うけもち,"charge (of something), matter in one's charge",JLPT_1 JLPT,"DiB3?u$z,A",Trách nhiệm
動き,うごき,"movement, activity, trend",JLPT_1 JLPT,u]mcX[(LyK,sự chuyển động
埋める,うずめる,"to bury, to fill",JLPT_1 JLPT,s1}PR|XGjV,điền vào
嘘つき,うそつき,liar,JLPT_1 JLPT,huy&f$4B!!,Kẻ nói dối
うたた寝,うたたね,"dozing, napping",JLPT_1 JLPT,g>}T9.Ly4K,Ngủ gật
打ち明ける,うちあける,"to confess, to be open",JLPT_1 JLPT,m>OKlxKk@!,hãy thẳng thắn
打ち切る,うちきる,"to stop, to abort, to discontinue, to close",JLPT_1 JLPT,NY3MFaZc*o,hủy bỏ
打ち消し,うちけし,"(gram) negation, denial, negative",JLPT_1 JLPT,FFlOc.L!8+,Hủy bỏ
打ち込む,うちこむ,"to devote oneself to, to shoot into",JLPT_1 JLPT,"iV,JA!*tZ)",đánh
団扇,うちわ,fan,JLPT_1 JLPT,AXix@CPuvn,cái quạt
内訳,うちわけ,"the items, breakdown, classification",JLPT_1 JLPT,"kc.tS5mj},",sự cố
写し,うつし,"copy, duplicate",JLPT_1 JLPT,o]mr>S?=4H,bản sao
訴え,うったえ,"lawsuit, complaint",JLPT_1 JLPT,L0%2@MBXxQ,vụ kiện
うっとうしい,うっとうしい,"weary, annoying",JLPT_1 JLPT,D_nkEIxjCi,Khó chịu
うつむく,うつむく,"to look downward, to stoop",JLPT_1 JLPT,vZ9f:pDf9{,Buồn bã
空ろ,うつろ,"blank, hollow, empty",JLPT_1 JLPT,gT)UMo=-nJ,rỗng
器,うつわ,"bowl, vessel, container",JLPT_1 JLPT,wCFSLHrDCy,dụng cụ
腕前,うでまえ,"ability, skill, facility",JLPT_1 JLPT,M#fh/cwlNl,Kỹ năng
雨天,うてん,rainy weather,JLPT_1 JLPT,w*!:re!1<+,cơn mưa
促す,うながす,"to urge, to suggest, to demand",JLPT_1 JLPT,wV^GWyWg_j,lời nhắc
うぬぼれ,うぬぼれ,"pretension, conceit, hubris",JLPT_1 JLPT,m]YR4b{=@z,Sự kiêu ngạo
生まれつき,うまれつき,"by nature, by birth, native",JLPT_1 JLPT,vf1rqkwzEV,Sinh
埋め込む,うめこむ,"to embed, implant",JLPT_1 JLPT,xua#+HlIBN,nhúng
梅干し,うめぼし,dried plum,JLPT_1 JLPT,y[D$6jL9AV,mận muối chua
裏返し,うらがえし,"inside out, reverse",JLPT_1 JLPT,x!`i3g6fj/,Từ trong ra ngoài
売り出し,うりだし,(bargain) sale,JLPT_1 JLPT,e#9|l1/ymz,doanh thu
売り出す,うりだす,"to put on sale, to market",JLPT_1 JLPT,gIddcx*`Ct,Cần bán
潤う,うるおう,to be moist; to profit by,JLPT_1 JLPT,iEM[52wf::,Dưỡng ẩm
浮気,うわき,"affair, to cheat",JLPT_1 JLPT,niMRrvhuXD,Gian lận
上回る,うわまわる,to exceed,JLPT_1 JLPT,xvIWa_An&S,Quá
植わる,うわる,to be planted,JLPT_1 JLPT,q/mwW_I)&k,thực vật
運営,うんえい,"management, administration, operation",JLPT_1 JLPT,m*%9#Uxp/F,hoạt động
うんざり,うんざり,"tedious, boring, being fed up with",JLPT_1 JLPT,G<U}3bYTX=,chán ngấy
運送,うんそう,"shipping, freight",JLPT_1 JLPT,DH/^v}5V5H,chuyên chở
運賃,うんちん,"freight rates, shipping expenses, (passenger) fare",JLPT_1 JLPT Intermediate_Japanese_Ln.10 Intermediate_Japanese,"OS<,k|.D(5",giá vé
云々,うんぬん,"and so on, and so forth",JLPT_1 JLPT,LiOOViPg]s,vân vân.
運搬,うんぱん,"transport, carriage",JLPT_1 JLPT,KHqZvxZ@6.,Vận tải
運命,うんめい,fate,JLPT_1 JLPT,l3_#00|#9V,định mệnh
運輸,うんゆ,transportation,JLPT_1 JLPT,"M~H0atu}?,",vận tải
運用,うんよう,"making use of, application, practical use",JLPT_1 JLPT,P{!{:>o!_q,sử dụng
エアメール,エアメール,air mail,JLPT_1 JLPT,q`%AC;;9Ta,Thư đường hàng không
～営,～えい,~ run,JLPT_1 JLPT,dP^UCy0C~l,~
英字,えいじ,English letter (character),JLPT_1 JLPT,"J1lN,M8$1h",Tiếng Anh
映写,えいしゃ,projection,JLPT_1 JLPT,x`Mnz)m&qb,phép chiếu
映像,えいぞう,"reflection, image",JLPT_1 JLPT,m?:Se-SQN4,hình ảnh
英雄,えいゆう,"hero, great man",JLPT_1 JLPT,lpc:AiI>>Z,anh hùng
液,えき,"liquid, fluid",JLPT_1 JLPT,r(jP%;ZEI5,chất lỏng
閲覧,えつらん,"inspection, reference, browse",JLPT_1 JLPT,hDsmHpZ7Os,Xem
獲物,えもの,"game, spoils, trophy",JLPT_1 JLPT,5*sGNpi>A,Con mồi
襟,えり,"neck, collar",JLPT_1 JLPT,tRB]@ee=lY,cổ áo
エレガント,エレガント,elegant,JLPT_1 JLPT,efgo>`$5}C,thanh lịch
円滑,えんかつ,"harmony, smoothness",JLPT_1 JLPT,Kb_Dvgh:lA,Trơn tru
縁側,えんがわ,"veranda, porch, balcony, open corridor",JLPT_1 JLPT,wyHg^[mZl2,hiên nhà
沿岸,えんがん,"coast, shore",JLPT_1 JLPT,AovU9kG]Un,ven biển
婉曲,えんきょく,"euphemistic, indirect, insinuating",JLPT_1 JLPT,G;:<3(vTfF,uyển ngữ
演出,えんしゅつ,"production (erg. play, direction)",JLPT_1 JLPT,"wf^,)@RdCb",trình diễn
エンジニア,エンジニア,engineer,JLPT_1 JLPT,B{mLrpXMY9,kỹ sư
演じる,えんじる,"to perform, to play (a part), to act",JLPT_1 JLPT,"w/:3TeD,r|",chơi
演ずる,えんずる,"to perform, to play (a part), to act",JLPT_1 JLPT,D7;+x/XKhh,chơi
沿線,えんせん,along railway line,JLPT_1 JLPT,ALo8teWhD7,Dọc theo đường thẳng
縁談,えんだん,marriage proposal,JLPT_1 JLPT,noJgGKIj8x,lời cầu hôn
遠方,えんぽう,"long way, distant place",JLPT_1 JLPT,OzC<9.M=Ar,khoảng cách
円満,えんまん,"harmony, peace, smoothness",JLPT_1 JLPT,Ct:pLi;{3A,Hài hòa
追い込む,おいこむ,"to herd, to corner, to drive",JLPT_1 JLPT,AR1qUDM@P),Góc
追い出す,おいだす,"to expel, to drive out",JLPT_1 JLPT,"riRN3`p,`k",Lái xe ra ngoài
於いて,おいて,"at, in, on",JLPT_1 JLPT,ijyE>WQ}KT,Tại
老いる,おいる,"to age, to grow old",JLPT_1 JLPT,Fq*tJ8V7V$,Trở nên già đi
応急,おうきゅう,emergency,JLPT_1 JLPT,P7w*v4FZJr,khẩn cấp
黄金,おうごん,gold,JLPT_1 JLPT,mYt_k*xkZ.,vàng
往診,おうしん,"doctor's visit, house call",JLPT_1 JLPT,KYeqnnZ=-9,Khám tại nhà
応募,おうぼ,"subscription, application",JLPT_1 JLPT,b[VDDlfAs0,Ứng dụng
おおい (かん),おおい (かん),hey,JLPT_1 JLPT,"oI,HaDOI/S",Ooi (kan)
大方,おおかた,"almost all, majority",JLPT_1 JLPT,xJaUka+CN:,Hào phóng
大柄,おおがら,"large build, large pattern",JLPT_1 JLPT,"GWS,d=cM(:",Lớn
おおげさ,おおげさ,"grandiose, exaggerated",JLPT_1 JLPT,oddUsiCw^V,Phóng đại
大筋,おおすじ,"outline, summary",JLPT_1 JLPT,Hs`P|H+T!],Những điểm chính
大空,おおぞら,"heaven, the sky",JLPT_1 JLPT,x&4e(F[|Hd,Daisō
オートマチック,オートマチック,automatic,JLPT_1 JLPT,Ma<]_+LJWL,tự động
大幅,おおはば,"full width, large scale, drastic",JLPT JLPT_1 MediaMissing,c`*FbFL7!*,lớn
おおまかな,おおまかな,"rough, approximate",JLPT_1 JLPT,h|xK)[LK#`,Thô
大水,おおみず,flood,JLPT_1 JLPT,lHnH3YrPE%,lụt
公,おおやけ,public,JLPT_1 JLPT,oI.<`;>b`b,nam giới
犯す,おかす,"to perpetrate, to violate",JLPT_1 JLPT,r}qWP|]B{j,làm
侵す,おかす,"to invade, to raid, to trespass",JLPT_1 JLPT,JP!&.Z9_)1,xâm lược
臆病,おくびょう,"cowardice, timidity",JLPT_1 JLPT,DR9F4{>w8i,Hèn nhát
遅らす,おくらす,"to retard, to delay",JLPT_1 JLPT,BxX=0Td:Ra,trì hoãn
厳か,おごそか,"majestic, dignified",JLPT_1 JLPT,k^}q{Z*:ZU,trang nghiêm
行い,おこない,"conduct, behavior, action",JLPT_1 JLPT,EPt}Y|moZw,Hoạt động
おごる (ゆうしょくを～),おごる (ゆうしょくを～),to give (someone) a treat,JLPT_1 JLPT,nplO^(LG?d,Mời ai đó đi ăn tối.
収まる,おさまる,to settle into; to be obtained,JLPT_1 JLPT,blHU8/+m@I,để phù hợp
納まる,おさまる,to settle into; to be obtained,JLPT_1 JLPT,cv8FX+R{$0,để hòa nhập
治まる,おさまる,"to be at peace, to calm down",JLPT_1 JLPT,vn/~]L;$eG,lắng xuống
お産,おさん,(giving) birth,JLPT_1 JLPT,euz]Ka!XAe,Sinh con
押し切る,おしきる,to have one's own way,JLPT_1 JLPT,djU<$hJj6~,Vượt qua
押し込む,おしこむ,"to push into, to crowd into",JLPT_1 JLPT,xrb|Hb|isj,xô
惜しむ,おしむ,"to be frugal, to value, to regret",JLPT_1 JLPT,eSj?}z3f2/,Hối tiếc
押し寄せる,おしよせる,"to push aside, to advance on",JLPT_1 JLPT,G6S^.J|&^/,vội vã
雄,おす,male (animal),JLPT_1 JLPT,gZ*7YqB0w(,nam giới
御世辞,おせじ,"flattery, compliment",JLPT_1 JLPT,d$tF`<~=wO,Lời nịnh hót
襲う,おそう,to attack,JLPT_1 JLPT,d*HJIF;zrC,tấn công
遅くとも,おそくとも,at the latest,JLPT_1 JLPT,"p,08OPe)d%",muộn nhất
恐れ,おそれ,"fear, horror",JLPT_1 JLPT,mG1{:BxE;,nỗi sợ
恐れ入る,おそれいる,"to be filled with awe, to feel small",JLPT_1 JLPT,o7$@i&/e=j,Tôi xin lỗi.
おだてる,おだてる,to flatter,JLPT_1 JLPT,"c}qANB`J7,",nịnh hót
落ち込む,おちこむ,to get depressed,JLPT_1 Genki_Ln.16 JLPT Genki,B0Aq~FM[^o,trầm cảm
落ち着き,おちつき,"calm, composure",JLPT_1 JLPT,"k)L1,/cgqd",Sự bình tĩnh
落葉,おちば,fallen leaves,JLPT_1 JLPT,qPS6$v<zNn,Lá rụng
乙,おつ,2nd in rank,JLPT_1 JLPT,"CTIZFIH,kM",Thứ hai
お使い,おつかい,errand,JLPT_1 JLPT,"Q3Uu~eV;,,",Sử dụng
おっかない,おっかない,"frightening, scary",JLPT_1 JLPT,r<$W[mdg(3,đáng sợ
お手上げ,おてあげ,"given in, given up hope",JLPT_1 JLPT,J({SY<_/!4,Tôi bỏ cuộc.
おどおど,おどおど,"coweringly, hesitantly",JLPT_1 JLPT,hFdj&!1iUO,nhút nhát
脅す,おどす,"to threaten, to menace",JLPT_1 JLPT,l9J?^6gNw8,hăm dọa
訪れる,おとずれる,to visit,JLPT_1 JLPT,M;`!*}::|V,thăm nom
お供,おとも,"attendant, companion",JLPT_1 JLPT,x[kh8D~cRx,bạn đồng hành
衰える,おとろえる,"to become weak, to decline",JLPT_1 JLPT,pxXWt`7[Xh,lãng phí
同い年,おないどし,of the same age,JLPT_1 JLPT,uOL4]ka~4C,Cùng tuổi
自ずから,おのずから,"naturally, as a matter of course",JLPT_1 JLPT,CsPmT^E4si,tự nhiên
怯える,おびえる,to become frightened,JLPT_1 JLPT,Bil>aIK.P>,sợ sệt
おびただしい,おびただしい,"abundantly, innumerably",JLPT_1 JLPT,F0E@v8v<tK,vô số
脅かす,おびやかす,"to threaten, to coerce",JLPT_1 JLPT,y}AqB/U_jH,hăm dọa
帯びる,おびる,"to bear, to carry, to be entrusted",JLPT_1 JLPT,zXZ(?*QD)1,mang theo
お袋,おふくろ,mother,JLPT_1 JLPT,Iky=(#jNrr,mẹ
覚え,おぼえ,"memory, sense, experience",JLPT_1 JLPT,z/W-oJ8vaW,Nhớ
おまけ,おまけ,a discount; something additional,JLPT_1 JLPT,rsBcP;b`Jp,thưởng
お宮,おみや,Shinto shrine,JLPT_1 JLPT,COvUCQv?BW,Đền thờ
おむつ,おむつ,"diaper, nappy",JLPT_1 JLPT,FRkuxmL~/i,tã bỉm
思い付き,おもいつき,"plan, idea, suggestion",JLPT_1 JLPT,gk=p@=>B|;,Một ý tưởng bất chợt
趣,おもむき,"flavor, appearance, quaint",JLPT_1 JLPT,o+otz^p(oN,quan tâm
赴く,おもむく,"to go, to proceed",JLPT_1 JLPT,E5WffQ+ViL,đi
重んじる,おもんじる,"to respect, to honor, to esteem, to prize",JLPT_1 JLPT,"gj_$ok,;mR",để định giá
重んずる,おもんずる,"to honor, to respect, to value",JLPT_1 JLPT,c;eXv;e7cc,để định giá
親父,おやじ,"one's father, old man, one's boss",JLPT_1 JLPT,g;f)J>kju#,bố
及び,および,"and, as well as",JLPT_1 JLPT,"F5z-<*3Tg,",Và
及ぶ,およぶ,"to reach, to extend",JLPT_1 JLPT,Lj7$<D<:Dd,Để tiếp cận
折,おり,"chance, occasion",JLPT_1 JLPT,y[AaTw+T{(,nếp gấp
檻,おり,"cage, pen, jail cell",JLPT_1 JLPT,Lj@q6`R`I<,lồng
オリエンテーション,オリエンテーション,orientation,JLPT_1 JLPT,i;fk@T:&ys,định hướng
折り返す,おりかえす,"to turn up, to fold back",JLPT_1 JLPT,x-(77`TIyH,Trở lại
織物,おりもの,"textile, fabric",JLPT_1 JLPT,@6F9JKGsN,vải vóc
俺,おれ,I (ego) (boastful first-person pronoun),JLPT_1 JLPT,M3v%b}<>}t,TÔI
愚か,おろか,"foolish, stupid",JLPT_1 JLPT,Ch>U~}L@[9,ngu si
おろそか,おろそか,"neglect, negligence, carelessness",JLPT_1 JLPT,H$%#VMqb~n,Sao nhãng
おんぶ,おんぶ,carrying on one's back (erg. Baby),JLPT_1 JLPT,w[CU60-p%`,Mang vác trên lưng
オンライン,オンライン,on-line,JLPT_1 JLPT,i=qSrR2s#(,trực tuyến
温和,おんわ,"gentle, mild, moderate",JLPT_1 JLPT,II+hgA8I:B,nhẹ
我,が～,ego,JLPT_1 JLPT,KEYq:ht}?d,TÔI
カーペット,カーペット,carpet,JLPT_1 JLPT,fn]9l!yDf>,thảm
～界,～かい,"world, circle, kingdom",JLPT_1 JLPT,d]il$5=Qs$,~Ranh giới
～街,～がい,town,JLPT_1 JLPT,PH:pbBSE|j,~ thị trấn
改悪,かいあく,"deterioration, changing for the worse",JLPT_1 JLPT,/C5*Xn=Cv,Sự suy thoái
海運,かいうん,marine transportation,JLPT_1 JLPT,"CDcOa:,]6U",Vận tải đường biển
外貨,がいか,foreign money,JLPT_1 JLPT,P{MzU_0f=F,Ngoại tệ
改革,かいかく,"reform, reformation, innovation",JLPT_1 JLPT,"nxg,|fRPK9",cải cách
貝殻,かいがら,shell,JLPT_1 JLPT,rr4Z^$`(_`,vỏ bọc
外観,がいかん,"appearance, exterior, facade",JLPT_1 JLPT,JF[`}jk]g#,ngoại thất
階級,かいきゅう,"class, rank, grade",JLPT_1 JLPT,G#*h9O@`+|,lớp học
海峡,かいきょう,channel,JLPT_1 JLPT,jy18h1NAzv,Eo biển
会見,かいけん,"interview, conference",JLPT_1 JLPT,umW!}@pgti,Họp báo
介護,かいご,nursing,JLPT_1 JLPT,kEe>~$Z:bi,chăm sóc điều dưỡng
開催,かいさい,"holding a meeting, open an exhibition",JLPT_1 JLPT,%(;Yq~m~L,cầm
回収,かいしゅう,"collection, recovery",JLPT_1 JLPT,j[pPaa[c]=,sưu tầm
改修,かいしゅう,"repair, improvement",JLPT_1 JLPT,QiUw+PPipY,cải tạo
怪獣,かいじゅう,monster,JLPT_1 JLPT,r8Gl`sM7J8,quái vật
解除,かいじょ,"cancellation, release, cancel",JLPT_1 JLPT,Mgd/-R9vWQ,Giải phóng
外相,がいしょう,Foreign Minister,JLPT_1 JLPT,yrLi>.nXho,Bộ trưởng Ngoại giao
害する,がいする,"to harm, to offend",JLPT_1 JLPT,Hi`w1ksG:H,làm hại
概説,がいせつ,"general statement, outline",JLPT_1 JLPT,nT]AQT3`Q*,Tổng quan
回送,かいそう,forwarding,JLPT_1 JLPT,L?pD4!Fpg8,Vận chuyển
階層,かいそう,"class, level, stratum, hierarchy",JLPT_1 JLPT,H^MD?o[__x,tầng lớp xã hội
開拓,かいたく,"cultivation, pioneer",JLPT_1 JLPT,FypVZrRtNH,mở ra
会談,かいだん,"conversation, interview",JLPT_1 JLPT,uN=.m/8Z~3,Cuộc họp
改定,かいてい,reform,JLPT_1 JLPT,g6THSZ_v^<,ôn tập
改訂,かいてい,revision,JLPT_1 JLPT,v0XHWw$0B0,ôn tập
ガイド,ガイド,guide,JLPT_1 JLPT,CvJbP*(I@%,hướng dẫn
街道,かいどう,highway,JLPT_1 JLPT,N$n&)AJVWA,đường phố
該当,がいとう,"corresponding, answering to, coming under",JLPT_1 JLPT,nkZ}`ld7f?,Áp dụng
街頭,がいとう,in the street,JLPT_1 JLPT,tQu}Nu#P].,đường phố
ガイドブック,ガイドブック,guidebook,JLPT_1 JLPT,Eo9u]7eh((,Sách hướng dẫn
介入,かいにゅう,intervention,JLPT_1 JLPT,pZJnTW/Kh#,sự can thiệp
概念,がいねん,"general idea, concept, notion",JLPT_1 JLPT,E|SNJ<R/iJ,ý tưởng
開発,かいはつ,"development, exploitation",JLPT_1 JLPT,Kw[.UTN4^R,phát triển
海抜,かいばつ,height above sea level,JLPT_1 JLPT,jLVxr@vo2y,Độ cao
介抱,かいほう,"nursing, looking after",JLPT_1 JLPT,j$OYFEbGs|,Chăm sóc điều dưỡng
解剖,かいぼう,"dissection, autopsy",JLPT_1 JLPT,iL)PO8n0NO,Giải phẫu học
外来,がいらい,"(abbr.) imported, outpatient clinic",JLPT_1 JLPT,~V$m/9|o},nước ngoài
回覧,かいらん,circulation,JLPT_1 JLPT,E}}4:_!82P,chuyền tay nhau xem.
概略,がいりゃく,"outline, summary, gist",JLPT_1 JLPT,N)qY<nUP|*,Đề cương
海流,かいりゅう,ocean current,JLPT_1 JLPT,xa/eyqaPDe,Dòng hải lưu
改良,かいりょう,"improvement, reform",JLPT_1 JLPT,"v?jE,5xyr`",Sự cải tiến
回路,かいろ,circuit (electric),JLPT_1 JLPT,fdIy<8[a*F,mạch điện
海路,かいろ,sea route,JLPT_1 JLPT,t536M9u42&,Tuyến đường biển
省みる,かえりみる,to reflect,JLPT_1 JLPT,taa>Gm>Nxx,Phản ánh
顧みる,かえりみる,"to look back, to turn around, to review",JLPT_1 JLPT,ho_c78W;*R,Nhìn lại
顔付き,かおつき,facial expression,JLPT_1 JLPT,k<|EsPF(U~,Khuôn mặt
課外,かがい,extracurricular,JLPT_1 JLPT,ImdEjfLr)>,hoạt động ngoại khóa
掲げる,かかげる,"to hoist, to fly (a sail), to float (a flag)",JLPT_1 JLPT,Q[6r`gY-ir,để nâng cao
かかと,かかと,shoe heel,JLPT_1 JLPT,F`djJ$owDP,gót chân
書き取る,かきとる,"to write down, to take dictation",JLPT_1 JLPT,OeW)s:B>?h,Hãy viết nó xuống.
掻き回す,かきまわす,"to stir up, to churn, to disturb",JLPT_1 JLPT,"wp9#,9/+Z4",Khuấy
かく (はじを),かく (はじを),to humiliate oneself,JLPT_1 JLPT,h*j3Yxxcj{,Kaku (haji o)
～画,～かく,~ strokes,JLPT_1 JLPT,G#l-jHUMTG,~bức tranh
学芸,がくげい,"arts and sciences, liberal arts",JLPT_1 JLPT,xM-CyLgdV},Nghệ thuật và Văn hóa
格差,かくさ,"difference, disparity",JLPT_1 JLPT,zvfu/3%U&J,Bất bình đẳng
拡散,かくさん,"scattering, diffusion",JLPT_1 JLPT,y__Cg;3rb:,khuếch tán
学士,がくし,university graduate,JLPT_1 JLPT,Pq<3#+rCX),Cử nhân
各種,かくしゅ,"every kind, all sorts",JLPT_1 JLPT,Jb^Vb%.N$q,Nhiều
隔週,かくしゅう,every other week,JLPT_1 JLPT,QbwTj%&$c),Hai tuần một lần
確信,かくしん,"conviction, confidence",JLPT_1 JLPT,zEL{[Q8QNW,Sự kết tội
革新,かくしん,"reform, innovation",JLPT_1 JLPT,ti4?AE7Yh@,sự đổi mới
学説,がくせつ,theory,JLPT_1 JLPT,GlxSp@=1Ze,lý thuyết
確定,かくてい,"fixed, decision",JLPT_1 JLPT,"e18p,U0K#7",Chắc chắn
カクテル,カクテル,cocktail,JLPT_1 JLPT,"E($,YP#I6d",cocktail
獲得,かくとく,"acquisition, possession",JLPT_1 JLPT,"B^,*K>>n_|",lấy
楽譜,がくふ,"score (music, sheet music)",JLPT_1 JLPT,qMA}9*EjCn,Bản nhạc
確保,かくほ,"guarantee, insure, secure",JLPT_1 JLPT,uY<*K%.TG@,đảm bảo
革命,かくめい,revolution,JLPT_1 JLPT,O;mF68dq6Q,cuộc cách mạng
確立,かくりつ,establishment,JLPT_1 JLPT,m(/`$&[BF3,Thành lập
賭,かけ,"betting, gambling, a gamble",JLPT_1 JLPT,s:YO~5k/sp,đặt cược
掛～,かけ～,credit,JLPT_1 JLPT,c#>^nQjhVy,Treo lên~
～掛け,～かけ,"rack, hanger",JLPT_1 JLPT,"Lr[e?zZ5,<",~
崖,がけ,cliff,JLPT_1 JLPT,lH2H25www/,vách đá
駆け足,かけあし,"running fast, double time",JLPT_1 JLPT,Nd5EP#88A|,Đang chạy
家計,かけい,"household economy, family finances",JLPT_1 JLPT,vh}KbR&s=#,Ngân sách hộ gia đình
駆けっこ,かけっこ,(foot) race,JLPT_1 JLPT,"A8,h2([S[A",loài 
加工,かこう,"manufacturing, processing, treatment",JLPT_1 JLPT,E^@%K2YN]n,Xử lý
化合,かごう,chemical combination,JLPT_1 JLPT,my>j<9l(Hz,hợp chất
かさばる,かさばる,to be bulky,JLPT_1 JLPT,"nuG,E:/*HK",cồng kềnh
かさむ,かさむ,"to pile up, to increase",JLPT_1 JLPT,D*tj!&=/|(,Kasukamu
箇条書,かじょうがき,"itemized form, itemization",JLPT_1 JLPT,uU[=f*p0xK,Các gạch đầu dòng
頭,かしら,"head, chief",JLPT_1 JLPT,qKQ^U]P!d/,cái đầu
